time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
13795,2,0,0.10,0.12,-0.00,28.03,0.06,24.44,0.0,0.0,0.0
13800,2,0,0.10,0.32,-0.00,28.03,0.07,23.97,0.0,0.0,0.0
13804,2,0,0.10,-0.27,-0.00,28.03,0.07,24.05,0.0,0.0,0.0
13808,2,0,0.10,-0.08,-0.00,28.03,0.07,23.91,0.0,0.0,0.0
13812,2,0,0.10,0.05,-0.00,28.03,0.06,21.69,0.0,0.0,0.0
13816,2,0,0.10,-0.01,-0.00,28.03,0.05,23.79,0.0,0.0,0.0
13820,2,0,0.10,0.19,-0.00,28.03,0.05,23.91,0.0,0.0,0.0
13824,2,0,0.10,-0.21,-0.00,28.03,0.05,23.89,0.0,0.0,0.0
13828,2,0,0.10,-0.01,-0.00,28.03,0.05,23.85,0.0,0.0,0.0
13832,2,0,0.10,0.05,-0.00,28.03,0.05,23.87,0.0,0.0,0.0
13836,2,0,0.10,-0.08,-0.00,28.03,0.05,24.07,0.0,0.0,0.0
13840,2,0,0.10,-0.01,-0.00,28.03,0.05,24.01,0.0,0.0,0.0
13845,2,0,0.10,0.05,-0.00,28.03,0.05,23.93,0.0,0.0,0.0
13849,2,0,0.10,0.05,-0.00,28.03,0.06,24.77,0.0,0.0,0.0
13853,2,0,0.10,-0.08,-0.00,28.03,0.06,24.19,0.0,0.0,0.0
13857,2,0,0.10,0.05,-0.00,28.03,0.06,24.03,0.0,0.0,0.0
13861,2,0,0.10,0.05,-0.00,28.73,0.06,23.95,0.0,0.0,0.0
13865,2,0,0.10,-0.08,-0.00,28.73,0.07,24.07,0.0,0.0,0.0
13869,2,0,0.10,-0.01,-0.00,28.18,0.07,23.91,0.0,0.0,0.0
13873,2,0,0.10,0.19,-0.00,28.18,0.06,23.95,0.0,0.0,0.0
13877,2,0,0.10,0.25,-0.00,28.18,0.07,23.91,0.0,0.0,0.0
13881,2,0,0.10,-0.01,-0.00,28.88,0.07,24.03,0.0,0.0,0.0
13885,2,0,0.10,-0.14,-0.00,28.88,0.07,23.83,0.0,0.0,0.0
13890,2,0,0.10,-0.01,-0.00,28.02,0.06,23.91,0.0,0.0,0.0
13894,2,0,0.10,0.12,-0.00,28.02,0.06,23.60,0.0,0.0,0.0
13898,2,0,0.10,-0.21,-0.00,28.02,0.07,24.34,0.0,0.0,0.0
13902,2,0,0.10,-0.21,-0.00,28.02,0.06,23.95,0.0,0.0,0.0
13906,2,0,0.10,-0.14,-0.00,28.02,0.05,23.79,0.0,0.0,0.0
13910,2,0,0.10,-0.14,-0.00,28.02,0.05,23.81,0.0,0.0,0.0
13914,2,0,0.10,-0.34,-0.00,28.02,0.06,24.44,0.0,0.0,0.0
13918,2,0,0.10,0.05,-0.00,28.02,0.05,23.93,0.0,0.0,0.0
13922,2,0,0.10,-0.27,-0.00,28.02,0.05,23.87,0.0,0.0,0.0
13926,2,0,0.10,-0.01,-0.00,28.02,0.04,23.87,0.0,0.0,0.0
13931,2,0,0.10,-0.08,-0.00,28.02,0.05,23.93,0.0,0.0,0.0
13935,2,0,0.10,-0.01,-0.00,28.02,0.05,24.17,0.0,0.0,0.0
13939,2,0,0.10,-0.21,-0.00,28.02,0.05,23.93,0.0,0.0,0.0
13943,2,0,0.10,-0.45,-0.00,28.02,0.05,23.91,0.0,0.0,0.0
13947,2,0,0.10,0.05,-0.00,28.02,0.05,23.77,0.0,0.0,0.0
13951,2,0,0.10,-0.14,-0.00,28.02,0.06,24.01,0.0,0.0,0.0
13955,2,0,0.10,0.19,-0.00,28.02,0.05,23.95,0.0,0.0,0.0
13959,2,0,0.10,-0.08,-0.00,28.02,0.06,25.09,0.0,0.0,0.0
