time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
21225,2,1,0.06,-0.08,-0.15,25.05,0.10,23.85,0.0,0.0,0.0
21229,2,1,0.07,0.32,-0.13,25.05,0.10,23.85,0.0,0.0,0.0
21233,2,1,0.06,-0.08,-0.15,25.05,0.11,23.83,0.0,0.0,0.0
21237,2,1,0.06,-0.27,-0.14,25.05,0.11,23.58,0.0,0.0,0.0
21241,2,1,0.06,-0.27,-0.16,25.05,0.11,23.66,0.0,0.0,0.0
21245,2,1,0.06,0.19,-0.12,25.05,0.11,23.99,0.0,0.0,0.0
21249,2,1,0.06,-0.01,-0.12,25.05,0.10,23.79,0.0,0.0,0.0
21253,2,1,0.06,0.25,-0.15,25.05,0.09,23.95,0.0,0.0,0.0
21258,2,1,0.06,-0.08,-0.17,25.05,0.10,23.83,0.0,0.0,0.0
21262,2,1,0.06,-0.08,-0.16,25.05,0.10,23.83,0.0,0.0,0.0
21266,2,1,0.06,0.32,-0.14,25.05,0.10,23.91,0.0,0.0,0.0
21270,2,1,0.06,0.19,-0.10,25.05,0.10,24.03,0.0,0.0,0.0
21274,2,1,0.06,0.25,-0.12,25.05,0.10,23.79,0.0,0.0,0.0
21278,2,1,0.06,0.05,-0.19,25.05,0.11,23.83,0.0,0.0,0.0
21282,2,1,0.07,0.25,-0.18,25.05,0.11,23.77,0.0,0.0,0.0
21286,2,1,0.06,-0.14,-0.13,25.05,0.12,23.81,0.0,0.0,0.0
21290,2,1,0.06,0.05,-0.15,25.05,0.12,24.01,0.0,0.0,0.0
21294,2,1,0.06,-0.14,-0.15,25.05,0.12,23.93,0.0,0.0,0.0
21299,2,1,0.06,-0.08,-0.12,25.05,0.12,23.81,0.0,0.0,0.0
21303,2,1,0.06,0.12,-0.15,25.05,0.11,23.87,0.0,0.0,0.0
21307,2,1,0.06,-0.21,-0.14,25.05,0.11,23.87,0.0,0.0,0.0
21311,2,1,0.06,-0.01,-0.12,25.05,0.12,24.03,0.0,0.0,0.0
21315,2,1,0.06,-0.01,-0.13,25.05,0.12,23.91,0.0,0.0,0.0
21319,2,1,0.06,-0.08,-0.09,25.05,0.11,23.87,0.0,0.0,0.0
21323,2,1,0.06,-0.01,-0.15,25.05,0.11,23.66,0.0,0.0,0.0
21327,2,1,0.06,0.36,-0.11,25.05,0.10,23.87,0.0,0.0,0.0
21331,2,1,0.06,0.12,-0.15,25.05,0.11,23.83,0.0,0.0,0.0
21335,2,1,0.06,-0.01,-0.15,25.05,0.11,24.32,0.0,0.0,0.0
21339,2,1,0.06,-0.34,-0.12,25.05,0.11,23.79,0.0,0.0,0.0
21344,2,1,0.07,0.05,-0.15,25.05,0.11,23.93,0.0,0.0,0.0
21348,2,1,0.06,0.12,-0.09,25.05,0.11,23.75,0.0,0.0,0.0
21352,2,1,0.07,0.25,-0.12,25.05,0.10,23.79,0.0,0.0,0.0
