time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
17198,2,1,0.07,-0.01,-0.17,25.22,-0.03,23.89,0.0,0.0,0.0
17203,2,1,0.07,-0.01,-0.20,25.22,-0.03,23.89,0.0,0.0,0.0
17207,2,1,0.07,-0.01,-0.22,25.22,-0.03,23.89,0.0,0.0,0.0
17211,2,1,0.07,0.36,-0.20,25.22,-0.03,23.71,0.0,0.0,0.0
17215,2,1,0.07,0.12,-0.16,25.22,-0.03,23.44,0.0,0.0,0.0
17219,2,1,0.07,-0.14,-0.18,25.22,-0.04,24.11,0.0,0.0,0.0
17223,2,1,0.07,-0.08,-0.20,25.22,-0.05,23.73,0.0,0.0,0.0
17227,2,1,0.07,-0.08,-0.18,25.22,-0.04,23.99,0.0,0.0,0.0
17231,2,1,0.07,-0.08,-0.18,25.22,-0.04,23.81,0.0,0.0,0.0
17235,2,1,0.07,-0.01,-0.18,25.22,-0.03,23.85,0.0,0.0,0.0
17239,2,1,0.07,0.19,-0.19,25.22,-0.03,23.99,0.0,0.0,0.0
17244,2,1,0.07,0.05,-0.21,25.22,-0.03,23.68,0.0,0.0,0.0
17248,2,1,0.07,-0.14,-0.17,25.22,-0.04,23.89,0.0,0.0,0.0
17252,2,1,0.07,0.25,-0.18,25.22,-0.04,23.83,0.0,0.0,0.0
17256,2,1,0.07,-0.14,-0.16,25.22,-0.04,23.83,0.0,0.0,0.0
17260,2,1,0.07,0.43,-0.21,25.22,-0.05,23.32,0.0,0.0,0.0
17264,2,1,0.07,-0.45,-0.15,25.22,-0.06,23.91,0.0,0.0,0.0
17268,2,1,0.07,-0.21,-0.22,25.22,-0.07,24.81,0.0,0.0,0.0
17272,2,1,0.07,0.25,-0.19,25.22,-0.07,23.79,0.0,0.0,0.0
17276,2,1,0.07,0.05,-0.19,25.22,-0.08,23.85,0.0,0.0,0.0
17280,2,1,0.07,-0.14,-0.18,25.22,-0.07,23.87,0.0,0.0,0.0
17284,2,1,0.07,-0.14,-0.20,25.22,-0.08,24.05,0.0,0.0,0.0
17289,2,1,0.07,-0.08,-0.19,25.22,-0.08,23.85,0.0,0.0,0.0
17293,2,1,0.07,0.12,-0.17,25.22,-0.07,23.71,0.0,0.0,0.0
17297,2,1,0.07,-0.14,-0.20,25.22,-0.07,23.73,0.0,0.0,0.0
17301,2,1,0.07,0.32,-0.17,25.22,-0.05,23.91,0.0,0.0,0.0
17305,2,1,0.07,-0.08,-0.19,25.22,-0.05,23.81,0.0,0.0,0.0
17309,2,1,0.07,0.25,-0.17,25.22,-0.05,23.83,0.0,0.0,0.0
17313,2,1,0.07,-0.01,-0.21,25.22,-0.05,23.79,0.0,0.0,0.0
17317,2,1,0.07,-0.34,-0.19,25.22,-0.05,23.40,0.0,0.0,0.0
17321,2,1,0.07,-0.01,-0.20,25.22,-0.05,23.22,0.0,0.0,0.0
17325,2,1,0.07,0.05,-0.18,25.22,-0.05,23.89,0.0,0.0,0.0
17330,2,1,0.07,-0.01,-0.15,25.22,-0.04,23.75,0.0,0.0,0.0
17334,2,1,0.07,-0.14,-0.21,25.22,-0.04,23.93,0.0,0.0,0.0
17338,2,1,0.07,-0.08,-0.18,25.22,-0.03,23.62,0.0,0.0,0.0
17342,2,1,0.07,0.05,-0.19,25.22,-0.03,23.89,0.0,0.0,0.0
17346,2,1,0.07,0.12,-0.21,25.22,-0.02,23.93,0.0,0.0,0.0
17350,2,1,0.07,-0.01,-0.20,25.22,-0.00,23.93,0.0,0.0,0.0
17354,2,1,0.07,-0.14,-0.22,25.22,-0.01,23.91,0.0,0.0,0.0
17358,2,1,0.07,-0.08,-0.18,25.22,-0.01,23.87,0.0,0.0,0.0
17362,2,1,0.07,-0.01,-0.20,25.22,-0.02,23.87,0.0,0.0,0.0
17366,2,1,0.07,0.05,-0.18,25.22,-0.02,23.99,0.0,0.0,0.0
