time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
9478,2,1,0.03,-0.38,0.20,26.82,0.09,23.93,0.0,0.0,0.0
9482,2,1,0.03,-0.27,0.20,26.82,0.09,23.91,0.0,0.0,0.0
9486,2,1,0.03,0.19,0.22,26.82,0.09,24.01,0.0,0.0,0.0
9490,2,1,0.03,-0.08,0.17,26.82,0.09,24.05,0.0,0.0,0.0
9494,2,1,0.03,0.05,0.21,26.82,0.09,23.99,0.0,0.0,0.0
9498,2,1,0.03,0.19,0.17,26.82,0.10,23.95,0.0,0.0,0.0
9502,2,1,0.03,-0.08,0.19,26.82,0.10,24.01,0.0,0.0,0.0
9506,2,1,0.03,-0.34,0.21,26.82,0.10,24.17,0.0,0.0,0.0
9510,2,1,0.03,0.12,0.19,26.82,0.09,24.22,0.0,0.0,0.0
9514,2,1,0.03,0.12,0.19,26.82,0.10,23.99,0.0,0.0,0.0
9519,2,1,0.03,-0.38,0.16,26.82,0.09,24.09,0.0,0.0,0.0
9523,2,1,0.03,-0.01,0.19,26.82,0.09,24.05,0.0,0.0,0.0
9527,2,1,0.03,0.25,0.20,26.82,0.09,24.01,0.0,0.0,0.0
9531,2,1,0.03,-0.21,0.19,26.82,0.10,24.15,0.0,0.0,0.0
9535,2,1,0.03,0.12,0.21,26.82,0.10,23.97,0.0,0.0,0.0
9539,2,1,0.03,0.12,0.22,26.82,0.09,23.93,0.0,0.0,0.0
9543,2,1,0.03,-0.14,0.15,26.82,0.09,23.85,0.0,0.0,0.0
9547,2,1,0.03,-0.14,0.19,26.82,0.10,23.99,0.0,0.0,0.0
9551,2,1,0.03,-0.01,0.21,26.82,0.09,23.73,0.0,0.0,0.0
9555,2,1,0.03,-0.14,0.18,26.82,0.09,24.03,0.0,0.0,0.0
9560,2,1,0.03,0.25,0.20,26.82,0.10,23.99,0.0,0.0,0.0
9564,2,1,0.03,0.32,0.16,26.82,0.10,23.81,0.0,0.0,0.0
9568,2,1,0.03,-0.08,0.17,26.82,0.10,24.01,0.0,0.0,0.0
9572,2,1,0.03,0.19,0.17,26.82,0.09,24.11,0.0,0.0,0.0
9576,2,1,0.03,-0.01,0.16,26.82,0.09,24.01,0.0,0.0,0.0
9580,2,1,0.03,0.05,0.24,26.82,0.09,23.95,0.0,0.0,0.0
9584,2,1,0.03,0.12,0.16,26.82,0.09,24.01,0.0,0.0,0.0
9588,2,1,0.03,0.19,0.19,26.82,0.09,23.95,0.0,0.0,0.0
9592,2,1,0.03,0.25,0.15,26.82,0.10,23.99,0.0,0.0,0.0
9596,2,1,0.03,-0.08,0.18,26.82,0.10,24.07,0.0,0.0,0.0
9600,2,1,0.03,0.19,0.15,26.82,0.10,24.03,0.0,0.0,0.0
9605,2,1,0.03,0.12,0.18,26.82,0.09,23.99,0.0,0.0,0.0
9609,2,1,0.03,0.25,0.20,26.82,0.09,23.99,0.0,0.0,0.0
9613,2,1,0.03,0.12,0.21,26.82,0.09,23.68,0.0,0.0,0.0
9617,2,1,0.03,0.19,0.17,26.82,0.09,23.89,0.0,0.0,0.0
9621,2,1,0.03,-0.14,0.21,26.82,0.09,24.11,0.0,0.0,0.0
9625,2,1,0.03,0.19,0.19,26.82,0.09,23.93,0.0,0.0,0.0
9629,2,1,0.03,-0.21,0.22,26.82,0.09,23.91,0.0,0.0,0.0
9633,2,1,0.03,0.05,0.14,26.82,0.09,25.07,0.0,0.0,0.0
9637,2,1,0.03,-0.08,0.18,26.82,0.09,24.03,0.0,0.0,0.0
9641,2,1,0.03,0.49,0.10,26.82,0.09,24.01,0.0,0.0,0.0
9646,2,1,0.03,-0.08,0.19,26.82,0.09,23.97,0.0,0.0,0.0
9650,2,1,0.03,0.05,0.21,26.82,0.09,23.99,0.0,0.0,0.0
9654,2,1,0.03,-0.14,0.17,26.82,0.09,24.24,0.0,0.0,0.0
9658,2,1,0.03,-0.21,0.20,26.82,0.10,24.01,0.0,0.0,0.0
9662,2,1,0.03,-0.14,0.20,26.82,0.10,24.05,0.0,0.0,0.0
9666,2,1,0.03,0.05,0.19,26.82,0.10,23.95,0.0,0.0,0.0
9670,2,1,0.03,0.19,0.20,26.82,0.10,23.97,0.0,0.0,0.0
9674,2,1,0.03,-0.08,0.18,26.82,0.10,23.93,0.0,0.0,0.0
9678,2,1,0.03,-0.01,0.19,26.82,0.10,23.97,0.0,0.0,0.0
9682,2,1,0.03,0.05,0.22,26.82,0.09,24.19,0.0,0.0,0.0
9686,2,1,0.03,-0.38,0.17,26.82,0.10,23.99,0.0,0.0,0.0
9691,2,1,0.03,0.19,0.16,26.82,0.10,24.09,0.0,0.0,0.0
9695,2,1,0.03,0.25,0.14,26.82,0.10,24.01,0.0,0.0,0.0
9699,2,1,0.03,-0.38,0.21,26.82,0.09,24.01,0.0,0.0,0.0
9703,2,1,0.03,0.05,0.16,26.82,0.09,24.05,0.0,0.0,0.0
