time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
17686,2,1,0.07,-0.01,-0.25,27.09,0.09,23.93,0.0,0.0,0.0
17690,2,1,0.07,0.05,-0.22,27.09,0.09,23.87,0.0,0.0,0.0
17694,2,1,0.07,-0.01,-0.25,27.09,0.09,23.66,0.0,0.0,0.0
17698,2,1,0.07,0.12,-0.22,27.09,0.10,23.85,0.0,0.0,0.0
17702,2,1,0.07,-0.21,-0.22,27.09,0.09,23.87,0.0,0.0,0.0
17706,2,1,0.07,-0.01,-0.25,27.09,0.09,23.87,0.0,0.0,0.0
17710,2,1,0.07,0.19,-0.24,27.09,0.10,23.85,0.0,0.0,0.0
17714,2,1,0.07,0.32,-0.22,27.09,0.10,23.81,0.0,0.0,0.0
17719,2,1,0.07,0.25,-0.24,27.09,0.10,23.93,0.0,0.0,0.0
17723,2,1,0.07,-0.01,-0.23,27.09,0.09,23.83,0.0,0.0,0.0
17727,2,1,0.07,0.12,-0.26,27.09,0.09,23.83,0.0,0.0,0.0
17731,2,1,0.07,-0.08,-0.19,27.09,0.09,24.50,0.0,0.0,0.0
17735,2,1,0.07,-0.08,-0.22,27.09,0.08,23.93,0.0,0.0,0.0
17739,2,1,0.07,-0.08,-0.22,27.09,0.09,23.83,0.0,0.0,0.0
17743,2,1,0.07,-0.08,-0.26,27.09,0.10,23.89,0.0,0.0,0.0
17747,2,1,0.07,0.12,-0.26,27.09,0.10,23.95,0.0,0.0,0.0
17751,2,1,0.07,0.12,-0.24,27.09,0.09,23.95,0.0,0.0,0.0
17755,2,1,0.07,-0.27,-0.26,27.09,0.09,23.87,0.0,0.0,0.0
17760,2,1,0.07,-0.21,-0.24,27.09,0.08,23.93,0.0,0.0,0.0
17764,2,1,0.07,-0.01,-0.22,27.09,0.08,23.91,0.0,0.0,0.0
17768,2,1,0.07,-0.14,-0.26,27.09,0.08,23.87,0.0,0.0,0.0
17772,2,1,0.07,-0.08,-0.24,27.09,0.08,23.93,0.0,0.0,0.0
17776,2,1,0.07,-0.01,-0.22,27.09,0.09,23.83,0.0,0.0,0.0
17780,2,1,0.07,0.05,-0.25,27.09,0.08,24.09,0.0,0.0,0.0
17784,2,1,0.07,0.05,-0.23,27.09,0.07,23.83,0.0,0.0,0.0
