time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
6717,2,0,0.03,-0.14,-0.00,31.04,0.05,23.91,0.0,0.0,0.0
6721,2,0,0.03,0.05,-0.00,31.04,0.04,23.81,0.0,0.0,0.0
6725,2,0,0.03,-0.08,-0.00,31.04,0.04,23.93,0.0,0.0,0.0
6729,2,0,0.03,0.25,-0.00,31.04,0.03,23.97,0.0,0.0,0.0
6733,2,0,0.03,-0.21,-0.00,31.04,0.02,23.87,0.0,0.0,0.0
6737,2,0,0.03,-0.14,-0.00,31.04,0.02,24.05,0.0,0.0,0.0
6741,2,0,0.03,-0.01,-0.00,31.04,0.02,24.19,0.0,0.0,0.0
6746,2,0,0.03,0.12,-0.00,31.04,0.01,24.03,0.0,0.0,0.0
6750,2,0,0.03,-0.01,-0.00,31.04,0.01,23.99,0.0,0.0,0.0
6754,2,0,0.03,-0.21,-0.00,31.04,0.02,24.01,0.0,0.0,0.0
6758,2,0,0.03,0.12,-0.00,31.04,0.02,24.07,0.0,0.0,0.0
6762,2,0,0.03,-0.21,-0.00,31.04,0.03,23.54,0.0,0.0,0.0
6766,2,0,0.03,-0.14,-0.00,31.04,0.03,24.13,0.0,0.0,0.0
6770,2,0,0.03,-0.08,-0.00,31.04,0.04,24.24,0.0,0.0,0.0
6774,2,0,0.03,0.05,-0.00,31.04,0.05,23.56,0.0,0.0,0.0
6778,2,0,0.03,0.19,-0.00,31.04,0.05,23.83,0.0,0.0,0.0
6782,2,0,0.03,0.19,-0.00,31.04,0.05,23.89,0.0,0.0,0.0
6786,2,0,0.03,0.12,-0.00,31.04,0.07,23.93,0.0,0.0,0.0
6791,2,0,0.03,-0.14,-0.00,31.04,0.07,23.93,0.0,0.0,0.0
6795,2,0,0.03,-0.21,-0.00,31.04,0.06,24.05,0.0,0.0,0.0
6799,2,0,0.03,0.12,-0.00,31.04,0.06,23.85,0.0,0.0,0.0
6803,2,0,0.03,0.19,-0.00,31.04,0.05,23.95,0.0,0.0,0.0
6807,2,0,0.03,-0.01,-0.00,31.04,0.05,23.87,0.0,0.0,0.0
6811,2,0,0.03,-0.01,-0.00,31.04,0.04,23.77,0.0,0.0,0.0
6815,2,0,0.03,-0.08,-0.00,31.04,0.04,23.99,0.0,0.0,0.0
6819,2,0,0.03,-0.27,-0.00,31.04,0.04,22.10,0.0,0.0,0.0
6823,2,0,0.03,0.19,-0.00,31.04,0.05,23.91,0.0,0.0,0.0
6827,2,0,0.03,0.05,-0.00,31.04,0.04,23.95,0.0,0.0,0.0
6831,2,0,0.03,-0.01,-0.00,31.04,0.04,23.42,0.0,0.0,0.0
6836,2,0,0.03,-0.14,-0.00,31.04,0.04,25.91,0.0,0.0,0.0
6840,2,0,0.03,-0.14,-0.00,31.04,0.04,24.34,0.0,0.0,0.0
6844,2,0,0.03,0.05,-0.00,31.04,0.04,23.89,0.0,0.0,0.0
6848,2,0,0.03,-0.34,-0.00,31.04,0.04,24.07,0.0,0.0,0.0
6852,2,0,0.03,-0.01,-0.00,31.04,0.05,23.97,0.0,0.0,0.0
6856,2,0,0.03,-0.21,-0.00,31.04,0.05,24.38,0.0,0.0,0.0
6860,2,0,0.03,0.05,-0.00,31.04,0.04,23.99,0.0,0.0,0.0
6864,2,0,0.03,-0.21,-0.00,31.04,0.04,24.05,0.0,0.0,0.0
6868,2,0,0.03,-0.21,-0.00,31.04,0.04,23.79,0.0,0.0,0.0
6872,2,0,0.03,0.25,-0.00,31.04,0.03,24.24,0.0,0.0,0.0
6877,2,0,0.03,-0.08,-0.00,31.04,0.03,24.13,0.0,0.0,0.0
6881,2,0,0.03,-0.01,-0.00,31.04,0.03,24.03,0.0,0.0,0.0
6885,2,0,0.03,-0.34,-0.00,31.04,0.04,23.93,0.0,0.0,0.0
6889,2,0,0.03,-0.14,-0.00,31.04,0.05,24.05,0.0,0.0,0.0
6893,2,0,0.03,-0.34,-0.00,31.04,0.05,23.91,0.0,0.0,0.0
6897,2,0,0.03,-0.08,-0.00,31.04,0.05,23.81,0.0,0.0,0.0
6901,2,0,0.03,-0.01,-0.00,31.04,0.06,23.77,0.0,0.0,0.0
6905,2,0,0.03,-0.08,-0.00,31.04,0.07,23.79,0.0,0.0,0.0
6909,2,0,0.03,-0.01,-0.00,31.57,0.07,24.05,0.0,0.0,0.0
6913,2,0,0.03,0.12,-0.00,31.57,0.07,23.97,0.0,0.0,0.0
6918,2,0,0.03,-0.38,-0.00,31.57,0.07,23.95,0.0,0.0,0.0
6922,2,0,0.03,-0.21,-0.00,31.57,0.07,23.91,0.0,0.0,0.0
6926,2,0,0.03,-0.01,-0.00,31.57,0.07,24.42,0.0,0.0,0.0
6930,2,0,0.03,-0.27,-0.00,31.57,0.06,23.85,0.0,0.0,0.0
6934,2,0,0.03,0.25,-0.00,31.57,0.06,23.13,0.0,0.0,0.0
6938,2,0,0.03,0.19,-0.00,31.57,0.05,24.05,0.0,0.0,0.0
6942,2,0,0.03,-0.08,-0.00,31.57,0.05,24.05,0.0,0.0,0.0
6946,2,0,0.03,-0.21,-0.00,31.57,0.04,23.77,0.0,0.0,0.0
6950,2,0,0.03,0.19,-0.00,31.57,0.05,23.50,0.0,0.0,0.0
6954,2,0,0.03,0.25,-0.00,31.57,0.06,23.83,0.0,0.0,0.0
6959,2,0,0.03,-0.27,-0.00,31.57,0.06,24.05,0.0,0.0,0.0
6963,2,0,0.03,-0.08,-0.00,31.57,0.07,24.03,0.0,0.0,0.0
6967,2,0,0.03,0.12,-0.00,31.57,0.07,24.05,0.0,0.0,0.0
6971,2,0,0.03,0.12,-0.00,31.57,0.07,25.80,0.0,0.0,0.0
6975,2,0,0.03,-0.08,-0.00,31.57,0.08,23.87,0.0,0.0,0.0
6979,2,0,0.03,0.32,-0.00,31.57,0.08,23.97,0.0,0.0,0.0
6983,2,0,0.03,-0.14,-0.00,31.57,0.09,24.07,0.0,0.0,0.0
6987,2,0,0.03,-0.14,-0.00,31.57,0.09,23.95,0.0,0.0,0.0
6991,2,0,0.03,0.12,-0.00,30.95,0.07,24.17,0.0,0.0,0.0
6995,2,0,0.03,0.05,-0.00,30.95,0.07,23.77,0.0,0.0,0.0
6999,2,0,0.03,0.19,-0.00,30.95,0.06,23.93,0.0,0.0,0.0
7004,2,0,0.03,-0.08,-0.00,30.95,0.06,23.95,0.0,0.0,0.0
7008,2,0,0.03,-0.38,-0.00,30.95,0.06,24.01,0.0,0.0,0.0
7012,2,0,0.03,-0.27,-0.00,30.95,0.07,24.44,0.0,0.0,0.0
7016,2,0,0.03,-0.08,-0.00,30.95,0.05,23.85,0.0,0.0,0.0
7020,2,0,0.03,-0.27,-0.00,31.49,0.05,23.46,0.0,0.0,0.0
7024,2,0,0.03,-0.08,-0.00,31.49,0.04,23.81,0.0,0.0,0.0
7028,2,0,0.03,0.32,-0.00,31.49,0.04,23.89,0.0,0.0,0.0
7032,2,0,0.03,-0.27,-0.00,31.49,0.05,23.81,0.0,0.0,0.0
7036,2,0,0.03,0.05,-0.00,30.92,0.05,23.93,0.0,0.0,0.0
7040,2,0,0.03,-0.27,-0.00,30.92,0.05,23.75,0.0,0.0,0.0
7045,2,0,0.03,-0.01,-0.00,30.92,0.05,24.07,0.0,0.0,0.0
7049,2,0,0.03,0.25,-0.00,30.92,0.04,23.99,0.0,0.0,0.0
7053,2,0,0.03,-0.08,-0.00,30.92,0.04,23.93,0.0,0.0,0.0
7057,2,0,0.03,0.19,-0.00,30.92,0.05,23.91,0.0,0.0,0.0
7061,2,0,0.03,0.05,-0.00,30.92,0.05,24.03,0.0,0.0,0.0
7065,2,0,0.03,-0.01,-0.00,30.92,0.06,23.52,0.0,0.0,0.0
7069,2,0,0.03,0.19,-0.00,30.92,0.06,24.38,0.0,0.0,0.0
7073,2,0,0.03,0.12,-0.00,30.92,0.06,24.42,0.0,0.0,0.0
7077,2,0,0.03,-0.14,-0.00,30.92,0.06,23.73,0.0,0.0,0.0
7081,2,0,0.03,-0.01,-0.00,30.92,0.06,24.74,0.0,0.0,0.0
7085,2,0,0.03,-0.01,-0.00,30.92,0.06,23.87,0.0,0.0,0.0
7090,2,0,0.03,-0.21,-0.00,30.92,0.06,23.97,0.0,0.0,0.0
7094,2,0,0.03,0.12,-0.00,30.92,0.05,23.97,0.0,0.0,0.0
7098,2,0,0.03,-0.21,-0.00,30.92,0.05,23.93,0.0,0.0,0.0
7102,2,0,0.03,-0.08,-0.00,31.51,0.05,23.79,0.0,0.0,0.0
7106,2,0,0.03,-0.08,-0.00,31.51,0.05,24.01,0.0,0.0,0.0
7110,2,0,0.03,0.12,-0.00,31.51,0.05,23.93,0.0,0.0,0.0
7114,2,0,0.03,0.63,-0.00,31.51,0.05,23.85,0.0,0.0,0.0
7118,2,0,0.03,-0.14,-0.00,31.51,0.06,24.15,0.0,0.0,0.0
7122,2,0,0.03,-0.65,-0.00,31.51,0.06,23.79,0.0,0.0,0.0
7126,2,0,0.03,0.05,-0.00,31.00,0.06,24.01,0.0,0.0,0.0
7131,2,0,0.03,-0.01,-0.00,31.00,0.06,23.93,0.0,0.0,0.0
7135,2,0,0.03,-0.14,-0.00,31.00,0.07,23.85,0.0,0.0,0.0
7139,2,0,0.03,-0.01,-0.00,31.00,0.06,23.87,0.0,0.0,0.0
7143,2,0,0.03,-0.27,-0.00,31.00,0.06,24.54,0.0,0.0,0.0
7147,2,0,0.03,0.05,-0.00,31.00,0.05,23.95,0.0,0.0,0.0
7151,2,0,0.03,0.05,-0.00,31.00,0.05,23.99,0.0,0.0,0.0
7155,2,0,0.03,0.05,-0.00,31.00,0.06,23.91,0.0,0.0,0.0
7159,2,0,0.03,0.05,-0.00,31.00,0.06,23.36,0.0,0.0,0.0
7163,2,0,0.03,-0.01,-0.00,31.00,0.05,23.99,0.0,0.0,0.0
7167,2,0,0.03,-0.14,-0.00,31.00,0.05,23.97,0.0,0.0,0.0
7171,2,0,0.03,0.19,-0.00,31.00,0.05,23.91,0.0,0.0,0.0
7176,2,0,0.03,0.12,-0.00,31.00,0.06,23.97,0.0,0.0,0.0
7180,2,0,0.03,0.05,-0.00,31.00,0.05,23.91,0.0,0.0,0.0
7184,2,0,0.03,-0.38,-0.00,31.00,0.06,24.44,0.0,0.0,0.0
7188,2,0,0.03,-0.01,-0.00,31.00,0.05,23.95,0.0,0.0,0.0
7192,2,0,0.03,-0.01,-0.00,31.00,0.06,23.97,0.0,0.0,0.0
7196,2,0,0.03,0.05,-0.00,31.00,0.05,23.89,0.0,0.0,0.0
7200,2,0,0.03,-0.01,-0.00,31.00,0.05,23.89,0.0,0.0,0.0
7204,2,0,0.03,0.12,-0.00,31.00,0.05,24.13,0.0,0.0,0.0
7208,2,0,0.03,0.12,-0.00,31.00,0.06,24.03,0.0,0.0,0.0
7212,2,0,0.03,0.12,-0.00,31.00,0.06,23.32,0.0,0.0,0.0
7217,2,0,0.03,-0.34,-0.00,31.00,0.05,24.11,0.0,0.0,0.0
7221,2,0,0.03,-0.08,-0.00,31.00,0.06,24.01,0.0,0.0,0.0
7225,2,0,0.03,-0.14,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7229,2,0,0.03,0.05,-0.00,31.00,0.07,23.91,0.0,0.0,0.0
7233,2,0,0.03,0.05,-0.00,31.00,0.06,24.40,0.0,0.0,0.0
7237,2,0,0.03,0.43,-0.00,31.00,0.06,23.99,0.0,0.0,0.0
7241,2,0,0.03,-0.27,-0.00,31.00,0.06,23.48,0.0,0.0,0.0
7245,2,0,0.03,0.05,-0.00,31.00,0.06,21.22,0.0,0.0,0.0
7249,2,0,0.03,0.32,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7253,2,0,0.03,-0.01,-0.00,31.00,0.06,24.03,0.0,0.0,0.0
7258,2,0,0.03,-0.01,-0.00,31.00,0.06,23.87,0.0,0.0,0.0
7262,2,0,0.03,-0.08,-0.00,31.00,0.05,22.38,0.0,0.0,0.0
7266,2,0,0.03,-0.01,-0.00,31.00,0.05,24.09,0.0,0.0,0.0
7270,2,0,0.03,-0.14,-0.00,31.00,0.04,23.99,0.0,0.0,0.0
7274,2,0,0.03,-0.08,-0.00,31.00,0.05,23.85,0.0,0.0,0.0
7278,2,0,0.03,-0.01,-0.00,31.00,0.05,23.83,0.0,0.0,0.0
7282,2,0,0.03,-0.38,-0.00,31.00,0.04,23.87,0.0,0.0,0.0
7286,2,0,0.03,-0.21,-0.00,31.00,0.04,24.03,0.0,0.0,0.0
7290,2,0,0.03,-0.08,-0.00,31.00,0.04,23.91,0.0,0.0,0.0
7294,2,0,0.03,-0.14,-0.00,31.00,0.05,24.05,0.0,0.0,0.0
7298,2,0,0.03,-0.01,-0.00,31.00,0.04,23.79,0.0,0.0,0.0
7303,2,0,0.03,0.05,-0.00,31.00,0.06,24.22,0.0,0.0,0.0
7307,2,0,0.03,0.43,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7311,2,0,0.03,0.19,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7315,2,0,0.03,-0.01,-0.00,31.00,0.06,23.93,0.0,0.0,0.0
7319,2,0,0.03,-0.01,-0.00,31.00,0.07,22.77,0.0,0.0,0.0
7323,2,0,0.03,-0.14,-0.00,31.00,0.07,24.05,0.0,0.0,0.0
7327,2,0,0.03,0.19,-0.00,31.00,0.07,24.19,0.0,0.0,0.0
7331,2,0,0.03,-0.08,-0.00,31.00,0.08,23.99,0.0,0.0,0.0
7335,2,0,0.03,0.05,-0.00,31.00,0.07,23.91,0.0,0.0,0.0
7339,2,0,0.03,0.25,-0.00,31.00,0.07,24.21,0.0,0.0,0.0
7344,2,0,0.03,0.19,-0.00,31.00,0.06,24.01,0.0,0.0,0.0
7348,2,0,0.03,-0.34,-0.00,31.00,0.06,24.05,0.0,0.0,0.0
7352,2,0,0.03,-0.27,-0.00,31.00,0.06,24.11,0.0,0.0,0.0
7356,2,0,0.03,0.05,-0.00,31.00,0.07,23.91,0.0,0.0,0.0
7360,2,0,0.03,-0.08,-0.00,31.00,0.07,24.13,0.0,0.0,0.0
7364,2,0,0.03,0.12,-0.00,31.00,0.07,23.81,0.0,0.0,0.0
7368,2,0,0.03,-0.21,-0.00,31.00,0.06,23.97,0.0,0.0,0.0
7372,2,0,0.03,0.12,-0.00,31.00,0.06,23.85,0.0,0.0,0.0
7376,2,0,0.03,0.12,-0.00,31.00,0.06,23.85,0.0,0.0,0.0
7380,2,0,0.03,0.25,-0.00,31.00,0.05,24.01,0.0,0.0,0.0
7384,2,0,0.03,0.25,-0.00,31.00,0.06,23.99,0.0,0.0,0.0
7389,2,0,0.03,-0.21,-0.00,31.00,0.06,23.93,0.0,0.0,0.0
7393,2,0,0.03,-0.14,-0.00,31.00,0.07,23.91,0.0,0.0,0.0
7397,2,0,0.03,-0.08,-0.00,31.00,0.06,23.83,0.0,0.0,0.0
7401,2,0,0.03,-0.08,-0.00,31.00,0.06,23.32,0.0,0.0,0.0
7405,2,0,0.03,0.25,-0.00,31.00,0.05,23.89,0.0,0.0,0.0
7409,2,0,0.03,0.12,-0.00,31.00,0.05,23.83,0.0,0.0,0.0
7413,2,0,0.03,-0.21,-0.00,31.00,0.06,24.24,0.0,0.0,0.0
7417,2,0,0.03,0.19,-0.00,31.00,0.06,23.99,0.0,0.0,0.0
7421,2,0,0.03,-0.21,-0.00,31.00,0.07,23.77,0.0,0.0,0.0
7425,2,0,0.03,-0.08,-0.00,31.00,0.06,24.01,0.0,0.0,0.0
7430,2,0,0.03,0.05,-0.00,31.00,0.06,24.13,0.0,0.0,0.0
7434,2,0,0.03,-0.21,-0.00,31.00,0.05,23.87,0.0,0.0,0.0
7438,2,0,0.03,-0.21,-0.00,31.00,0.05,24.01,0.0,0.0,0.0
7442,2,0,0.03,-0.27,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7446,2,0,0.03,-0.14,-0.00,31.00,0.07,23.89,0.0,0.0,0.0
7450,2,0,0.03,-0.01,-0.00,31.00,0.06,23.95,0.0,0.0,0.0
7454,2,0,0.03,-0.01,-0.00,31.00,0.05,23.81,0.0,0.0,0.0
7458,2,0,0.03,0.43,-0.00,31.00,0.06,24.15,0.0,0.0,0.0
7462,2,0,0.03,-0.14,-0.00,31.00,0.06,23.09,0.0,0.0,0.0
7466,2,0,0.03,-0.01,-0.00,31.00,0.05,23.93,0.0,0.0,0.0
7471,2,0,0.03,-0.14,-0.00,31.00,0.05,23.87,0.0,0.0,0.0
7475,2,0,0.03,0.36,-0.00,31.00,0.05,22.85,0.0,0.0,0.0
7479,2,0,0.03,-0.14,-0.00,31.00,0.05,24.11,0.0,0.0,0.0
7483,2,0,0.03,0.19,-0.00,31.00,0.05,24.56,0.0,0.0,0.0
7487,2,0,0.03,0.43,-0.00,31.00,0.06,23.93,0.0,0.0,0.0
7491,2,0,0.03,-0.08,-0.00,31.00,0.06,23.97,0.0,0.0,0.0
7495,2,0,0.03,-0.14,-0.00,31.00,0.06,23.93,0.0,0.0,0.0
7499,2,0,0.03,0.05,-0.00,31.00,0.05,24.11,0.0,0.0,0.0
7503,2,0,0.03,-0.08,-0.00,31.00,0.05,24.09,0.0,0.0,0.0
7507,2,0,0.03,-0.08,-0.00,31.00,0.05,24.09,0.0,0.0,0.0
7511,2,0,0.03,-0.34,-0.00,31.00,0.05,23.95,0.0,0.0,0.0
7516,2,0,0.03,0.19,-0.00,31.00,0.05,23.91,0.0,0.0,0.0
7520,2,0,0.03,-0.01,-0.00,31.00,0.05,24.01,0.0,0.0,0.0
7524,2,0,0.03,-0.34,-0.00,31.00,0.05,23.97,0.0,0.0,0.0
7528,2,0,0.03,0.12,-0.00,31.00,0.04,22.95,0.0,0.0,0.0
7532,2,0,0.03,-0.01,-0.00,31.00,0.04,24.09,0.0,0.0,0.0
7536,2,0,0.03,-0.14,-0.00,31.00,0.04,23.83,0.0,0.0,0.0
7540,2,0,0.03,-0.08,-0.00,31.00,0.05,23.99,0.0,0.0,0.0
7544,2,0,0.03,0.05,-0.00,31.00,0.05,23.79,0.0,0.0,0.0
7548,2,0,0.03,-0.27,-0.00,31.00,0.06,23.87,0.0,0.0,0.0
7552,2,0,0.03,-0.21,-0.00,31.00,0.05,23.97,0.0,0.0,0.0
7557,2,0,0.03,0.05,-0.00,31.00,0.05,24.01,0.0,0.0,0.0
7561,2,0,0.03,-0.14,-0.00,31.00,0.06,22.77,0.0,0.0,0.0
7565,2,0,0.03,-0.01,-0.00,31.00,0.06,23.81,0.0,0.0,0.0
7569,2,0,0.03,0.12,-0.00,31.00,0.05,23.99,0.0,0.0,0.0
7573,2,0,0.03,-0.08,-0.00,31.00,0.06,24.15,0.0,0.0,0.0
7577,2,0,0.03,0.25,-0.00,31.00,0.06,23.89,0.0,0.0,0.0
7581,2,0,0.03,-0.34,-0.00,31.00,0.06,25.28,0.0,0.0,0.0
7585,2,0,0.03,-0.08,-0.00,31.00,0.06,24.19,0.0,0.0,0.0
7589,2,0,0.03,-0.01,-0.00,31.00,0.05,24.03,0.0,0.0,0.0
7593,2,0,0.03,-0.34,-0.00,31.00,0.05,23.85,0.0,0.0,0.0
7597,2,0,0.03,0.12,-0.00,31.00,0.06,23.99,0.0,0.0,0.0
