time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
15167,2,1,0.07,0.05,-0.17,26.98,0.07,23.87,0.0,0.0,0.0
15171,2,1,0.07,-0.21,-0.11,26.98,0.08,23.97,0.0,0.0,0.0
15175,2,1,0.07,0.25,-0.18,26.98,0.09,23.97,0.0,0.0,0.0
15179,2,1,0.07,-0.14,-0.16,26.98,0.09,23.89,0.0,0.0,0.0
15183,2,1,0.07,0.05,-0.15,26.98,0.09,23.85,0.0,0.0,0.0
15187,2,1,0.07,-0.01,-0.15,26.98,0.10,23.89,0.0,0.0,0.0
15191,2,1,0.07,-0.21,-0.15,26.98,0.10,23.75,0.0,0.0,0.0
15196,2,1,0.07,-0.01,-0.15,26.98,0.10,23.79,0.0,0.0,0.0
15200,2,1,0.07,0.05,-0.14,26.98,0.10,23.93,0.0,0.0,0.0
15204,2,1,0.07,-0.08,-0.18,26.98,0.11,23.95,0.0,0.0,0.0
15208,2,1,0.07,-0.08,-0.15,26.98,0.11,24.07,0.0,0.0,0.0
15212,2,1,0.07,0.19,-0.15,26.98,0.11,23.36,0.0,0.0,0.0
15216,2,1,0.07,0.12,-0.19,26.98,0.11,24.01,0.0,0.0,0.0
15220,2,1,0.07,-0.14,-0.16,26.98,0.11,23.87,0.0,0.0,0.0
15224,2,1,0.07,-0.14,-0.15,26.98,0.11,23.83,0.0,0.0,0.0
15228,2,1,0.07,-0.27,-0.16,26.98,0.11,23.91,0.0,0.0,0.0
15232,2,1,0.07,-0.08,-0.16,26.98,0.12,24.07,0.0,0.0,0.0
15236,2,1,0.07,-0.01,-0.18,26.98,0.12,23.91,0.0,0.0,0.0
15241,2,1,0.07,-0.21,-0.13,26.98,0.12,23.91,0.0,0.0,0.0
15245,2,1,0.07,-0.01,-0.18,26.98,0.11,24.15,0.0,0.0,0.0
15249,2,1,0.07,0.05,-0.14,26.98,0.11,23.95,0.0,0.0,0.0
15253,2,1,0.07,-0.01,-0.15,26.98,0.10,23.91,0.0,0.0,0.0
15257,2,1,0.07,-0.38,-0.16,26.98,0.09,23.91,0.0,0.0,0.0
15261,2,1,0.07,-0.01,-0.17,26.98,0.10,23.77,0.0,0.0,0.0
15265,2,1,0.07,0.12,-0.13,26.98,0.09,23.87,0.0,0.0,0.0
15269,2,1,0.07,0.32,-0.17,26.98,0.08,23.95,0.0,0.0,0.0
15273,2,1,0.07,0.12,-0.17,26.98,0.07,23.73,0.0,0.0,0.0
15277,2,1,0.07,-0.08,-0.17,26.98,0.08,24.01,0.0,0.0,0.0
15282,2,1,0.07,-0.34,-0.17,26.98,0.09,23.83,0.0,0.0,0.0
15286,2,1,0.07,0.05,-0.17,26.98,0.09,24.64,0.0,0.0,0.0
15290,2,1,0.07,0.12,-0.14,26.98,0.09,23.99,0.0,0.0,0.0
15294,2,1,0.07,-0.08,-0.15,26.98,0.08,23.83,0.0,0.0,0.0
15298,2,1,0.07,0.05,-0.17,26.98,0.09,24.01,0.0,0.0,0.0
15302,2,1,0.07,-0.14,-0.15,26.98,0.08,23.91,0.0,0.0,0.0
15306,2,1,0.07,-0.14,-0.12,26.98,0.08,23.89,0.0,0.0,0.0
15310,2,1,0.07,-0.21,-0.20,26.98,0.08,24.03,0.0,0.0,0.0
15314,2,1,0.07,0.05,-0.15,26.98,0.08,23.83,0.0,0.0,0.0
15318,2,1,0.07,-0.14,-0.15,26.98,0.08,24.01,0.0,0.0,0.0
15322,2,1,0.07,-0.27,-0.18,26.98,0.07,23.91,0.0,0.0,0.0
15327,2,1,0.07,-0.01,-0.13,26.98,0.07,23.93,0.0,0.0,0.0
15331,2,1,0.07,0.12,-0.17,26.98,0.08,23.68,0.0,0.0,0.0
15335,2,1,0.07,-0.27,-0.14,26.98,0.09,23.95,0.0,0.0,0.0
15339,2,1,0.07,-0.01,-0.15,26.98,0.09,23.79,0.0,0.0,0.0
15343,2,1,0.07,0.05,-0.15,26.98,0.09,23.89,0.0,0.0,0.0
15347,2,1,0.07,0.12,-0.16,26.98,0.08,23.99,0.0,0.0,0.0
15351,2,1,0.07,-0.21,-0.21,26.98,0.09,23.95,0.0,0.0,0.0
15355,2,1,0.07,0.12,-0.15,26.98,0.10,23.95,0.0,0.0,0.0
15359,2,1,0.07,0.05,-0.19,26.98,0.10,23.91,0.0,0.0,0.0
15363,2,1,0.07,0.05,-0.14,26.98,0.11,24.03,0.0,0.0,0.0
15368,2,1,0.07,-0.34,-0.14,26.98,0.11,23.93,0.0,0.0,0.0
15372,2,1,0.07,-0.14,-0.13,26.98,0.10,23.99,0.0,0.0,0.0
15376,2,1,0.07,-0.01,-0.16,26.98,0.11,23.97,0.0,0.0,0.0
15380,2,1,0.07,0.05,-0.14,26.98,0.12,23.95,0.0,0.0,0.0
15384,2,1,0.07,-0.08,-0.17,26.98,0.12,23.83,0.0,0.0,0.0
15388,2,1,0.07,-0.21,-0.16,26.98,0.12,23.93,0.0,0.0,0.0
15392,2,1,0.07,0.32,-0.15,26.98,0.11,23.95,0.0,0.0,0.0
15396,2,1,0.07,-0.01,-0.15,26.98,0.10,23.83,0.0,0.0,0.0
15400,2,1,0.07,0.12,-0.18,26.98,0.10,24.05,0.0,0.0,0.0
15404,2,1,0.07,-0.08,-0.14,26.98,0.09,23.89,0.0,0.0,0.0
15409,2,1,0.07,0.19,-0.15,26.98,0.08,23.99,0.0,0.0,0.0
15413,2,1,0.07,-0.08,-0.21,26.98,0.08,23.91,0.0,0.0,0.0
15417,2,1,0.07,0.05,-0.15,26.98,0.07,23.91,0.0,0.0,0.0
15421,2,1,0.07,-0.27,-0.14,26.98,0.05,24.01,0.0,0.0,0.0
15425,2,1,0.07,0.12,-0.16,26.98,0.05,23.79,0.0,0.0,0.0
15429,2,1,0.07,0.12,-0.18,26.98,0.05,23.93,0.0,0.0,0.0
15433,2,1,0.07,-0.01,-0.17,26.98,0.06,23.93,0.0,0.0,0.0
15437,2,1,0.07,0.32,-0.16,26.98,0.06,23.87,0.0,0.0,0.0
15441,2,1,0.07,-0.08,-0.15,26.98,0.07,23.77,0.0,0.0,0.0
