time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
5799,2,1,0.07,-0.21,-0.15,27.51,0.09,23.79,0.0,0.0,0.0
5804,2,1,0.07,-0.14,-0.16,27.51,0.09,23.97,0.0,0.0,0.0
5808,2,1,0.07,0.05,-0.15,27.51,0.08,23.77,0.0,0.0,0.0
5812,2,1,0.07,0.19,-0.19,27.51,0.08,23.85,0.0,0.0,0.0
5816,2,1,0.07,0.12,-0.13,27.51,0.09,23.89,0.0,0.0,0.0
5820,2,1,0.07,0.12,-0.17,27.51,0.09,23.79,0.0,0.0,0.0
5824,2,1,0.07,0.19,-0.15,27.51,0.10,23.97,0.0,0.0,0.0
5828,2,1,0.07,0.19,-0.15,27.51,0.10,23.83,0.0,0.0,0.0
5832,2,1,0.07,-0.01,-0.15,27.51,0.10,23.77,0.0,0.0,0.0
5836,2,1,0.07,-0.34,-0.15,27.51,0.09,23.91,0.0,0.0,0.0
5840,2,1,0.07,0.05,-0.15,27.51,0.10,24.03,0.0,0.0,0.0
5844,2,1,0.07,0.05,-0.13,27.51,0.10,23.93,0.0,0.0,0.0
5849,2,1,0.07,-0.52,-0.17,27.51,0.10,23.85,0.0,0.0,0.0
5853,2,1,0.07,0.19,-0.15,27.51,0.09,24.11,0.0,0.0,0.0
5857,2,1,0.07,-0.08,-0.15,27.51,0.10,23.93,0.0,0.0,0.0
5861,2,1,0.07,-0.08,-0.13,27.51,0.09,22.93,0.0,0.0,0.0
5865,2,1,0.07,0.25,-0.16,27.51,0.09,24.01,0.0,0.0,0.0
5869,2,1,0.07,0.19,-0.15,27.51,0.10,23.85,0.0,0.0,0.0
5873,2,1,0.07,0.25,-0.16,27.51,0.10,23.87,0.0,0.0,0.0
5877,2,1,0.07,0.05,-0.16,27.51,0.11,24.01,0.0,0.0,0.0
5881,2,1,0.07,-0.01,-0.17,27.51,0.11,23.85,0.0,0.0,0.0
5885,2,1,0.07,-0.14,-0.14,27.51,0.11,23.89,0.0,0.0,0.0
5889,2,1,0.07,0.05,-0.15,27.51,0.10,23.87,0.0,0.0,0.0
5894,2,1,0.07,-0.21,-0.16,27.51,0.11,23.83,0.0,0.0,0.0
5898,2,1,0.07,0.12,-0.12,27.51,0.11,23.91,0.0,0.0,0.0
5902,2,1,0.07,-0.14,-0.14,27.51,0.10,23.85,0.0,0.0,0.0
5906,2,1,0.07,-0.01,-0.20,27.51,0.10,23.87,0.0,0.0,0.0
5910,2,1,0.07,0.19,-0.17,27.51,0.09,23.89,0.0,0.0,0.0
5914,2,1,0.07,-0.14,-0.14,27.51,0.09,23.87,0.0,0.0,0.0
5918,2,1,0.07,0.12,-0.13,27.51,0.09,23.87,0.0,0.0,0.0
5922,2,1,0.07,-0.01,-0.17,27.51,0.08,23.77,0.0,0.0,0.0
5926,2,1,0.07,-0.01,-0.15,27.51,0.07,24.36,0.0,0.0,0.0
5930,2,1,0.07,0.05,-0.15,27.51,0.08,23.81,0.0,0.0,0.0
5934,2,1,0.07,0.05,-0.17,27.51,0.07,23.83,0.0,0.0,0.0
5939,2,1,0.07,-0.08,-0.15,27.51,0.07,23.85,0.0,0.0,0.0
5943,2,1,0.07,0.19,-0.17,27.51,0.08,23.97,0.0,0.0,0.0
5947,2,1,0.07,-0.08,-0.17,27.51,0.08,23.83,0.0,0.0,0.0
5951,2,1,0.07,0.12,-0.11,27.51,0.08,23.85,0.0,0.0,0.0
5955,2,1,0.07,-0.08,-0.13,27.51,0.08,23.87,0.0,0.0,0.0
5959,2,1,0.07,-0.01,-0.15,27.51,0.08,23.95,0.0,0.0,0.0
5963,2,1,0.07,0.12,-0.16,27.51,0.09,24.32,0.0,0.0,0.0
5967,2,1,0.07,-0.14,-0.14,27.51,0.10,23.89,0.0,0.0,0.0
5971,2,1,0.07,0.05,-0.16,27.51,0.11,23.79,0.0,0.0,0.0
5975,2,1,0.07,0.05,-0.13,27.51,0.10,23.87,0.0,0.0,0.0
5980,2,1,0.07,-0.14,-0.16,27.51,0.10,23.81,0.0,0.0,0.0
5984,2,1,0.07,-0.01,-0.13,27.51,0.10,23.83,0.0,0.0,0.0
5988,2,1,0.07,0.12,-0.15,27.51,0.09,23.85,0.0,0.0,0.0
5992,2,1,0.07,0.05,-0.12,27.51,0.10,23.91,0.0,0.0,0.0
5996,2,1,0.07,0.12,-0.14,27.51,0.10,23.69,0.0,0.0,0.0
6000,2,1,0.07,0.25,-0.17,27.51,0.10,23.83,0.0,0.0,0.0
6004,2,1,0.07,-0.34,-0.13,27.51,0.10,24.03,0.0,0.0,0.0
6008,2,1,0.07,0.05,-0.18,27.51,0.10,23.95,0.0,0.0,0.0
6012,2,1,0.07,-0.21,-0.12,27.51,0.09,23.77,0.0,0.0,0.0
6016,2,1,0.07,-0.27,-0.17,27.51,0.09,24.01,0.0,0.0,0.0
6021,2,1,0.07,-0.08,-0.14,27.51,0.09,23.83,0.0,0.0,0.0
6025,2,1,0.07,-0.21,-0.15,27.51,0.09,24.11,0.0,0.0,0.0
6029,2,1,0.07,-0.21,-0.15,27.51,0.09,23.97,0.0,0.0,0.0
6033,2,1,0.07,-0.08,-0.15,27.51,0.09,23.93,0.0,0.0,0.0
6037,2,1,0.07,-0.08,-0.16,27.51,0.09,23.99,0.0,0.0,0.0
6041,2,1,0.07,-0.21,-0.15,27.51,0.08,23.93,0.0,0.0,0.0
6045,2,1,0.07,0.12,-0.19,27.51,0.08,23.81,0.0,0.0,0.0
6049,2,1,0.07,0.05,-0.15,27.51,0.08,23.95,0.0,0.0,0.0
6053,2,1,0.07,0.19,-0.15,27.51,0.08,24.01,0.0,0.0,0.0
6057,2,1,0.07,-0.08,-0.09,27.51,0.08,23.99,0.0,0.0,0.0
6062,2,1,0.07,0.25,-0.14,27.51,0.08,23.87,0.0,0.0,0.0
6066,2,1,0.07,-0.27,-0.14,27.51,0.08,23.97,0.0,0.0,0.0
6070,2,1,0.07,-0.14,-0.15,27.51,0.09,23.93,0.0,0.0,0.0
6074,2,1,0.07,0.25,-0.12,27.51,0.09,23.87,0.0,0.0,0.0
6078,2,1,0.07,0.12,-0.14,27.51,0.08,23.89,0.0,0.0,0.0
6082,2,1,0.07,-0.21,-0.15,27.51,0.08,23.73,0.0,0.0,0.0
6086,2,1,0.07,-0.21,-0.15,27.51,0.09,23.93,0.0,0.0,0.0
6090,2,1,0.07,0.12,-0.16,27.51,0.09,24.13,0.0,0.0,0.0
6094,2,1,0.07,0.12,-0.17,27.51,0.09,23.89,0.0,0.0,0.0
6098,2,1,0.07,-0.27,-0.15,27.51,0.09,23.85,0.0,0.0,0.0
6102,2,1,0.07,-0.08,-0.15,27.51,0.09,23.79,0.0,0.0,0.0
6107,2,1,0.07,-0.14,-0.17,27.51,0.09,23.85,0.0,0.0,0.0
6111,2,1,0.07,-0.14,-0.15,27.51,0.10,24.07,0.0,0.0,0.0
6115,2,1,0.07,-0.08,-0.15,27.51,0.10,23.83,0.0,0.0,0.0
6119,2,1,0.07,0.19,-0.15,27.51,0.11,23.93,0.0,0.0,0.0
6123,2,1,0.07,0.05,-0.15,27.51,0.12,23.77,0.0,0.0,0.0
6127,2,1,0.07,-0.01,-0.15,27.51,0.11,23.87,0.0,0.0,0.0
6131,2,1,0.07,-0.08,-0.15,27.51,0.10,23.77,0.0,0.0,0.0
6135,2,1,0.07,-0.14,-0.13,27.51,0.11,23.75,0.0,0.0,0.0
6139,2,1,0.07,-0.21,-0.13,27.51,0.11,23.83,0.0,0.0,0.0
6143,2,1,0.07,-0.01,-0.16,27.51,0.11,24.91,0.0,0.0,0.0
6148,2,1,0.07,-0.34,-0.15,27.51,0.10,23.87,0.0,0.0,0.0
6152,2,1,0.07,-0.27,-0.14,27.51,0.10,23.91,0.0,0.0,0.0
6156,2,1,0.07,0.32,-0.15,27.51,0.09,24.01,0.0,0.0,0.0
6160,2,1,0.07,0.19,-0.14,27.51,0.09,24.19,0.0,0.0,0.0
6164,2,1,0.07,0.12,-0.16,27.51,0.08,23.93,0.0,0.0,0.0
6168,2,1,0.07,0.05,-0.18,27.51,0.08,23.91,0.0,0.0,0.0
6172,2,1,0.07,0.25,-0.16,27.51,0.09,23.91,0.0,0.0,0.0
6176,2,1,0.07,0.25,-0.12,27.51,0.08,23.87,0.0,0.0,0.0
6180,2,1,0.07,-0.27,-0.16,27.51,0.08,24.13,0.0,0.0,0.0
6184,2,1,0.07,-0.27,-0.15,27.51,0.07,23.81,0.0,0.0,0.0
6189,2,1,0.07,-0.21,-0.15,27.51,0.08,24.03,0.0,0.0,0.0
6193,2,1,0.07,0.05,-0.15,27.51,0.08,23.91,0.0,0.0,0.0
6197,2,1,0.07,-0.01,-0.12,27.51,0.08,23.87,0.0,0.0,0.0
6201,2,1,0.07,-0.21,-0.14,27.51,0.08,23.93,0.0,0.0,0.0
6205,2,1,0.07,-0.08,-0.15,27.51,0.09,24.01,0.0,0.0,0.0
6209,2,1,0.07,0.12,-0.12,27.51,0.10,23.87,0.0,0.0,0.0
6213,2,1,0.07,0.43,-0.14,27.51,0.09,23.73,0.0,0.0,0.0
6217,2,1,0.07,-0.21,-0.11,27.51,0.10,23.89,0.0,0.0,0.0
6221,2,1,0.07,0.12,-0.13,27.51,0.10,23.77,0.0,0.0,0.0
6225,2,1,0.07,-0.08,-0.15,27.51,0.12,23.81,0.0,0.0,0.0
6230,2,1,0.07,-0.34,-0.17,27.51,0.11,23.93,0.0,0.0,0.0
