time,idMotor,flag,anglek,wk,forcek,flex,current,voltage,angleControl,wControl,ffControl
1073,2,1,0.05,-0.08,0.02,6.30,0.07,23.89,0.0,0.0,0.0
1077,2,1,0.05,-0.01,0.02,8.60,0.07,23.87,0.0,0.0,0.0
1081,2,1,0.05,-0.21,0.04,8.60,0.07,23.89,0.0,0.0,0.0
1085,2,1,0.05,-0.08,0.00,8.60,0.07,23.89,0.0,0.0,0.0
1089,2,1,0.05,-0.08,0.02,8.60,0.07,23.99,0.0,0.0,0.0
1093,2,1,0.05,0.25,-0.01,8.60,0.07,23.95,0.0,0.0,0.0
1097,2,1,0.05,0.05,0.02,8.60,0.07,23.91,0.0,0.0,0.0
1101,2,1,0.05,-0.14,-0.00,8.60,0.08,23.87,0.0,0.0,0.0
1105,2,1,0.05,-0.21,0.02,8.60,0.09,24.03,0.0,0.0,0.0
1110,2,1,0.05,-0.08,0.02,8.60,0.10,23.99,0.0,0.0,0.0
1114,2,1,0.05,0.19,0.05,8.60,0.09,23.93,0.0,0.0,0.0
1118,2,1,0.05,-0.21,0.02,8.60,0.09,23.85,0.0,0.0,0.0
1122,2,1,0.05,-0.14,0.02,8.60,0.09,23.97,0.0,0.0,0.0
1126,2,1,0.05,-0.08,-0.00,8.60,0.09,23.93,0.0,0.0,0.0
1130,2,1,0.05,-0.08,-0.00,6.80,0.08,23.93,0.0,0.0,0.0
1134,2,1,0.05,-0.14,0.03,2.89,0.08,23.81,0.0,0.0,0.0
1138,2,1,0.05,0.05,0.03,1.74,0.08,23.95,0.0,0.0,0.0
1142,2,1,0.05,0.12,0.04,5.30,0.07,23.93,0.0,0.0,0.0
1146,2,1,0.05,0.12,-0.01,8.46,0.07,24.22,0.0,0.0,0.0
1150,2,1,0.05,-0.01,-0.02,8.46,0.07,23.91,0.0,0.0,0.0
1155,2,1,0.05,0.05,0.00,8.46,0.07,23.93,0.0,0.0,0.0
1159,2,1,0.05,-0.14,0.02,8.46,0.07,23.95,0.0,0.0,0.0
1163,2,1,0.05,0.05,0.01,8.46,0.07,23.77,0.0,0.0,0.0
1167,2,1,0.05,-0.01,0.06,8.46,0.06,23.75,0.0,0.0,0.0
1171,2,1,0.05,0.12,0.01,8.46,0.06,24.07,0.0,0.0,0.0
1175,2,1,0.05,-0.08,0.00,8.46,0.07,24.11,0.0,0.0,0.0
1179,2,1,0.05,0.19,0.01,8.46,0.08,24.19,0.0,0.0,0.0
1183,2,1,0.05,-0.08,0.03,8.46,0.08,23.91,0.0,0.0,0.0
1187,2,1,0.05,-0.08,-0.00,8.46,0.08,24.05,0.0,0.0,0.0
1191,2,1,0.05,-0.27,0.02,8.46,0.09,23.99,0.0,0.0,0.0
1196,2,1,0.05,0.12,-0.01,8.46,0.10,23.93,0.0,0.0,0.0
1200,2,1,0.05,-0.08,-0.00,8.46,0.10,23.87,0.0,0.0,0.0
1204,2,1,0.05,-0.01,-0.01,8.46,0.10,23.81,0.0,0.0,0.0
1208,2,1,0.05,-0.27,0.00,8.46,0.10,23.87,0.0,0.0,0.0
1212,2,1,0.05,-0.14,-0.00,8.46,0.11,24.07,0.0,0.0,0.0
1216,2,1,0.05,0.05,0.03,8.46,0.11,23.95,0.0,0.0,0.0
1220,2,1,0.05,0.05,0.00,8.46,0.10,23.91,0.0,0.0,0.0
1224,2,1,0.05,-0.27,0.01,8.46,0.09,24.15,0.0,0.0,0.0
1228,2,1,0.05,0.05,0.00,8.46,0.10,23.56,0.0,0.0,0.0
1232,2,1,0.05,-0.08,0.03,8.46,0.09,23.95,0.0,0.0,0.0
1237,2,1,0.05,-0.14,-0.00,8.46,0.08,23.85,0.0,0.0,0.0
1241,2,1,0.05,0.05,0.01,8.46,0.07,24.19,0.0,0.0,0.0
1245,2,1,0.05,-0.14,0.07,8.46,0.07,24.93,0.0,0.0,0.0
1249,2,1,0.05,-0.01,0.04,8.46,0.07,23.89,0.0,0.0,0.0
1253,2,1,0.05,0.12,0.02,8.46,0.08,23.89,0.0,0.0,0.0
1257,2,1,0.05,-0.21,0.02,8.46,0.08,23.93,0.0,0.0,0.0
1261,2,1,0.05,0.25,-0.00,8.46,0.07,23.38,0.0,0.0,0.0
1265,2,1,0.05,-0.01,0.03,8.46,0.08,23.91,0.0,0.0,0.0
1269,2,1,0.05,0.12,-0.00,8.46,0.09,23.89,0.0,0.0,0.0
1273,2,1,0.05,-0.01,0.01,8.46,0.09,24.03,0.0,0.0,0.0
1277,2,1,0.05,0.12,0.04,8.46,0.10,23.83,0.0,0.0,0.0
1282,2,1,0.05,-0.08,0.03,8.46,0.10,23.95,0.0,0.0,0.0
1286,2,1,0.05,-0.14,-0.00,8.46,0.11,23.91,0.0,0.0,0.0
1290,2,1,0.05,0.12,-0.00,8.46,0.11,23.91,0.0,0.0,0.0
1294,2,1,0.05,-0.14,0.02,8.46,0.10,23.81,0.0,0.0,0.0
1298,2,1,0.05,0.05,-0.00,8.46,0.10,23.93,0.0,0.0,0.0
1302,2,1,0.05,-0.01,0.00,8.46,0.10,24.03,0.0,0.0,0.0
1306,2,1,0.05,-0.14,0.00,8.46,0.11,24.68,0.0,0.0,0.0
